Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3000_1x12mm,1,3000,
C1,0603,1,0.1uF,
C2,0603,1,10uF,
"C3, C4, C5, C6, C7, C8, C9, C_ASYM1",0805,8,2.2uF,
D1,0603,1,D_ASYM,
"D2, D3, D4, D5, D6, D7, D8",0805,7,LED,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7",SOT-23,7,MMBT2222A,
"R1, R11, R16, R21, R26, R31, R6",0603,7,4.7k,
"R10, R15, R20, R25, R30, R35, R5",0603,7,10k,
"R12, R17, R2, R22, R27, R32, R7",0603,7,47k,
"R13, R18, R23, R28, R3, R33, R8, R_BLEED1",0603,8,100k,
"R14, R19, R24, R29, R34, R4, R9",0603,7,2.2k,
SW1,SW_SPST_CK_RS282G05A3,1,SW_Push,
"TP_B1, TP_C1, TP_VCC1",TestPoint_Pad_D1.5mm,3,TestPoint,
